analystName,analystCompany,publisher,skill_score,accuracy,avg_error,breadth,total_predictions,diversity
Emmanuel Korchman,Citigroup,Benzinga,53.00889736741701,53.00889736741701,0.018864757609817217,1,1,1
Rebecca Followill,US Capital Advisors,TheFly,29.999313370207894,29.999313370207894,0.03333409627278646,1,1,1
Kevin Kumar,Goldman Sachs,StreetInsider,10.42861689373297,10.42861689373297,0.0958899929098887,1,1,1
Brent Stadler,Desjardins,StreetInsider,7.820626499773008,7.820626499773008,0.12786699377972147,1,1,1
Francois Xavier Bouvignies,UBS,Barrons,6.0714550408719345,6.0714550408719345,0.1647051642922794,1,1,1
Jon Peterson,Piper Sandler,StreetInsider,5.600085450522622,5.600085450522622,0.1785687037876674,1,1,1
Keith Bachman,BMO Capital,Benzinga,5.42872981402537,0.04720634620891626,21.18359246814831,115,115,27
Scott Fletcher,CIBC,TheFly,4.999927024247852,4.999927024247852,0.20000291907269022,1,1,1
Steve Powers,Deutsche Bank,TheFly,3.984084994717806,0.10484434196625805,9.53794912768711,38,38,26
Anthony Crowdell,Mizuho Securities,TheFly,3.919483758063312,0.10887454883509201,9.184883066791492,36,36,23
Joseph Feldman,Telsey Advisory,Benzinga,3.3402715192918064,0.047046077736504315,21.255757081404326,71,71,20
Joe Gomes,Loop Capital Markets,Benzinga,3.3332994252581254,3.3332994252581254,0.3000030517578125,1,1,1
James Thalacker,BMO Capital,StreetInsider,3.2781515829978822,0.10927171943326275,9.151498715189028,30,30,17
Seth Rosenfeld,BNP Paribas,TheFly,3.199987793015278,3.199987793015278,0.3125011920928992,1,1,1
Scot Ciccarelli,Truist Financial,StreetInsider,3.1808442092073816,0.05048959062233939,19.80606274825973,63,63,19
Pamela Kaufman,Morgan Stanley,StreetInsider,3.129408706381669,0.09779402207442715,10.225573903064745,32,32,14
Simon Hales,Citigroup,StreetInsider,3.0189938174324165,3.0189938174324165,0.3312361867804276,1,1,1
Brent Thill,Jefferies,Benzinga,3.018141006590392,0.02874420006276564,34.78962704881008,105,105,42
Brent Bracelin,Piper Sandler,TheFly,2.9879922043129494,0.034344737980608615,29.116541828463216,87,87,27
Robert Muller,RBC Capital,StreetInsider,2.951722176128956,2.951722176128956,0.3387852718955592,1,1,1
Matthew Hedberg,RBC Capital,Benzinga,2.857441593535198,0.03914303552787943,25.547328829103076,73,73,31
Raimo Lenschow,Barclays,Benzinga,2.832784007924791,0.04496482552261573,22.239605922567968,63,63,28
Brian Bedell,Deutsche Bank,StreetInsider,2.7426416285621014,0.042194486593263095,23.699778827494093,65,65,24
Vijay Rakesh,Mizuho Securities,Benzinga,2.7411565376669063,0.02661317026861074,37.575380531776155,103,103,27
Ken Herbert,RBC Capital,StreetInsider,2.738441088774545,0.07401192131823095,13.511336852076498,37,37,18
Nitin Kumar,Mizuho Securities,StreetInsider,2.6617747803748175,0.05219166236029054,19.160148475378687,51,51,26
Omotayo Okusanya,Deutsche Bank,Benzinga,2.5898238046458197,0.12332494307837237,8.108659732885545,21,21,18
Gregg Moskowitz,Mizuho Securities,StreetInsider,2.560182689218931,0.04266971148698218,23.43582754959764,60,60,21
Justin Patterson,Loop Capital Markets,Benzinga,2.5428934958222156,0.03685352892495965,27.134443543688267,69,69,20
