symbol,environmentalScore,socialScore,governanceScore,ESGScore,cumulative_return
AA,65.32,72.23,78.27,71.94,0.697854785478548
AAL,71.74,63.77,70.76,68.76,0.13711790393013104
AADI,58.86,63.68,61.3,61.28,-0.45202020202020204
A,74.35,66.32,63.07,67.91,0.2669162633549448
AACG,61.61,65.54,63.9,63.68,-0.047766990291262156
AACT,73.54,74.26,77.34,75.05,0.056962025316455785
AAON,61.16,65.61,70.68,65.82,1.0767265846736045
AAME,63.18,59.18,64.33,62.23,-0.15544041450777205
AAOI,67.0,73.81,72.37,71.06,1.5910067114093962
AAP,45.86,49.91,61.61,52.46,-0.22007797270955165
AAPL,52.37,44.7,60.48,52.52,0.3391086287472928
AAT,48.95,70.74,59.54,59.74,0.5539269911504425
AB,58.23,55.18,71.05,61.49,0.32036847492323456
ABBV,66.41,61.49,68.97,65.63,0.29796591533809774
ABCB,63.12,77.98,69.7,70.27,0.7633064516129031
ABCL,54.09,61.59,61.3,58.99,-0.3498135198135198
ABEO,66.11,67.36,78.05,70.51,0.5700934579439251
ABEV,57.1,62.38,64.17,61.22,-0.07142857142857154
ABG,65.81,67.37,72.88,68.69,0.13030668920550587
ABL,55.46,73.21,74.3,67.66,0.5676328502415459
ABM,78.77,69.39,57.37,68.51,0.31687936431495295
ABNB,60.83,64.67,70.2,65.23,0.1326164874551971
ABOS,38.12,72.65,68.03,59.6,-0.23209169054441262
ABR,50.0,63.55,74.66,62.74,0.09397417503586805
ABSI,55.46,72.59,71.94,66.66,2.1238805970149253
ABT,64.7,54.9,63.3,60.97,0.24591366303436712
ABUS,59.72,71.61,60.93,64.09,1.3514285714285716
ABVC,66.08,70.85,71.59,69.51,-0.4184782608695652
AC,84.54,64.26,69.12,72.64,0.23784261715296198
ACA,69.55,74.76,73.39,72.57,0.3940233236151604
ACAB,50.0,74.0,67.74,63.91,0.04914933837429108
ACABW,50.0,74.0,67.74,63.91,-0.5324459234608985
ACAD,56.33,64.28,62.56,61.06,-0.343218491059747
ACB,53.23,72.66,65.51,63.8,0.2060652173913045
ACCD,77.83,71.5,68.26,72.53,-0.4730134932533733
ACCO,86.88,82.53,68.8,79.4,0.04667330677290841
ACDC,65.0,61.46,63.54,63.33,-0.36546762589928056
ACEL,67.89,75.29,78.86,74.01,0.12070657507360162
ACET,58.34,61.37,57.98,59.23,0.010273972602739812
ACGL,37.25,52.12,50.03,46.47,0.28604678920983534
ACGLN,44.85,47.73,57.11,49.9,0.24293622141997578
ACGLO,44.85,47.73,57.11,49.9,0.2280248190279214
ACHC,50.0,70.28,78.28,66.19,-0.21905569323072913
